Prominence Rank,Prominence (m),Height (m),Dominance (%),Peak Name,Country,Location,Google Map Link,Open Street Map Link,Lat/Lon,Map 1:50 000,Map 1:25 000,Grid Ref,Section,Peak Number,Section Order,Family Size,Prominence Group,Height Group,Traditional List,Notes,Wikipedia,"Adapted from 2010 Jim Bloomer, Roddy Urquhart and UK Metric Association"
1,1344,1344,1,Ben Nevis,S,Ben Nevis,"https://www.google.com/maps/search/?api=1&query=56.79679256802381,-5.003457870383528",https://www.openstreetmap.org/search?query=56.79679256802381%2C-5.003457870383528,"56.79679256802381,-5.003457870383528",41,392,NN 16680 71275,04A,227.1010101,132.1010101,586,P1000,H1000,Munro,highest peak in Britain,http://en.wikipedia.org/wiki/Ben_Nevis,
2,1147,1183,0.97,Carn Eige (Carn Eighe),S,Glen Affric,"https://www.google.com/maps/search/?api=1&query=57.28761661331689,-5.1150744894973545",https://www.openstreetmap.org/search?query=57.28761661331689%2C-5.1150744894973545,"57.28761661331689,-5.1150744894973545",25,414N,NH 12360 26185,11A,151.1010101,159.1010101,461,P1000,H1000,Munro,highest peak in Scotland North of the Great Glen,http://en.wikipedia.org/wiki/C%C3%A0rn_Eige,
3,1038,1085,0.96,Snowdon (Yr Wyddfa),W,Snowdon,"https://www.google.com/maps/search/?api=1&query=53.06851859147347,-4.0761660666169695",https://www.openstreetmap.org/search?query=53.06851859147347%2C-4.0761660666169695,"53.06851859147347,-4.0761660666169695",115,17W,SH 60990 54380,30B,368.1010101,238.1010101,384,P1000,H1000,Hewitt,highest peak in Wales,http://en.wikipedia.org/wiki/Snowdon,
4,992,992,1,Sgurr Alasdair,S,The Cuillin,"https://www.google.com/maps/search/?api=1&query=57.20634805374162,-6.223334596781228",https://www.openstreetmap.org/search?query=57.20634805374162%2C-6.223334596781228,"57.20634805374162,-6.223334596781228",32,411,NG 45050 20750,17B,530.1010101,198.1010101,10,P500,H750,Munro,highest peak on Skye. Scrambling skills required,http://en.wikipedia.org/wiki/Sgurr_Alasdair,
5,986,1174,0.84,Ben More,S,Balquhidder,"https://www.google.com/maps/search/?api=1&query=56.3858863583064,-4.5400594370697265",https://www.openstreetmap.org/search?query=56.3858863583064%2C-4.5400594370697265,"56.3858863583064,-4.5400594370697265",51,365N,NN 43278 24408,01C,284.1010101,103.1010101,5,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_More_%28Crianlarich%29,
6,966,966,1,Ben More,S,Mull,"https://www.google.com/maps/search/?api=1&query=56.42476843403337,-6.013955858109202",https://www.openstreetmap.org/search?query=56.42476843403337%2C-6.013955858109202,"56.42476843403337,-6.013955858109202","47,48",375W,NM 52581 33069,17E,560.1010101,204.1010101,11,P500,H750,Munro,highest peak on Mull,http://en.wikipedia.org/wiki/Ben_More_%28Mull%29,
7,957,1055,0.91,Spidean a'Choire Leith,S,Liathach,"https://www.google.com/maps/search/?api=1&query=57.56408893252445,-5.463499058713658",https://www.openstreetmap.org/search?query=57.56408893252445%2C-5.463499058713658,"57.56408893252445,-5.463499058713658",25,433,NG 92940 57955,13A,135.1010101,169.1010101,2,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Liathach,
8,950,1309,0.73,Ben Macdui,S,Cairngorms,"https://www.google.com/maps/search/?api=1&query=57.07029839557056,-3.669095936572841",https://www.openstreetmap.org/search?query=57.07029839557056%2C-3.669095936572841,"57.07029839557056,-3.669095936572841","36,43",403S,NN 98899 98934,08A,211.0210101,141.0210101,92,P500,H1000,Munro,P500 with most descendants,http://en.wikipedia.org/wiki/Ben_Macdui,
9,915,1110,0.82,Sgurr Mor,S,The Fannaichs,"https://www.google.com/maps/search/?api=1&query=57.69999432203742,-5.016714343343051",https://www.openstreetmap.org/search?query=57.69999432203742%2C-5.016714343343051,"57.69999432203742,-5.016714343343051",20,436S,NH 20325 71800,14B,122.1010101,180.1010101,16,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Sgurr_M%C3%B2r_%28Fannichs%29,
9,915,1214,0.75,Ben Lawers,S,Ben Lawers & The Tarmachans,"https://www.google.com/maps/search/?api=1&query=56.54485248053267,-4.220857283960035",https://www.openstreetmap.org/search?query=56.54485248053267%2C-4.220857283960035,"56.54485248053267,-4.220857283960035",51,378E,NN 63553 41415,02B,256.1010101,117.1010101,12,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_Lawers,
11,912,978,0.93,Scafell Pike,E,Lakes: S Fells,"https://www.google.com/maps/search/?api=1&query=54.45419665291772,-3.211439787508223",https://www.openstreetmap.org/search?query=54.45419665291772%2C-3.211439787508223,"54.45419665291772,-3.211439787508223","89,90",6N,NY 21555 07210,34B,336.0510101,251.0510101,37,P500,H750,Hewitt,highest peak in England and Cumbria county top,http://en.wikipedia.org/wiki/Scafell_Pike,
12,879,1126,0.78,Ben Cruachan,S,Glen Etive to Glen Lochy,"https://www.google.com/maps/search/?api=1&query=56.4268348097312,-5.131798980661035",https://www.openstreetmap.org/search?query=56.4268348097312%2C-5.131798980661035,"56.4268348097312,-5.131798980661035",50,377W,NN 06965 30470,03C,246.1010101,127.1010101,14,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_Cruachan,
13,875,1130,0.77,Ben Lui,S,Tyndrum Hills,"https://www.google.com/maps/search/?api=1&query=56.39750690180049,-4.810322990438449",https://www.openstreetmap.org/search?query=56.39750690180049%2C-4.810322990438449,"56.39750690180049,-4.810322990438449",50,"364N,377E",NN 26650 26350,01D,262.1010101,108.1010101,15,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_Lui,
