Prominence Rank,Prominence (m),Height (m),Dominance (%),Peak Name,Country,Location,Google Map Link,Open Street Map Link,Lat/Lon,Map 1:50 000,Map 1:25 000,Grid Ref,Section,Peak Number,Section Order,Family Size,Prominence Group,Height Group,Traditional List,Notes,Wikipedia,"Adapted from 2010 Jim Bloomer, Roddy Urquhart and UK Metric Association"
736,199,511,0.39,Maovally,S,Assynt,"https://www.google.com/maps/search/?api=1&query=58.15030334751682,-4.756858061918395",https://www.openstreetmap.org/search?query=58.15030334751682%2C-4.756858061918395,"58.15030334751682,-4.756858061918395",16,440N,NC 37850 21250,16E,111.5020101,191.5020101,,P100,H500,Marilyn,,NA,
736,199,634,0.31,Tarrenhendre,W,Cadair Idris,"https://www.google.com/maps/search/?api=1&query=52.61913792060415,-3.947133869336937",https://www.openstreetmap.org/search?query=52.61913792060415%2C-3.947133869336937,"52.61913792060415,-3.947133869336937",135,23W,SH 68280 04155,30F,348.8030101,243.8030101,,P100,H500,Hewitt,,http://en.wikipedia.org/wiki/Tarrenhendre,
736,199,807,0.25,Monamenach,S,Glen Isla,"https://www.google.com/maps/search/?api=1&query=56.820104347924165,-3.3515482101391725",https://www.openstreetmap.org/search?query=56.820104347924165%2C-3.3515482101391725,"56.820104347924165,-3.3515482101391725",43,"387N,387S",NO 17600 70660,07A,215.0563101,140.0563101,,P100,H750,Corbett,,NA,
736,199,978,0.2,Beinn Dubhchraig,S,Tyndrum Hills,"https://www.google.com/maps/search/?api=1&query=56.391236568501085,-4.743177952991338",https://www.openstreetmap.org/search?query=56.391236568501085%2C-4.743177952991338,"56.391236568501085,-4.743177952991338",50,"364N,377E",NN 30765 25485,01D,262.3020101,108.3020101,,P100,H750,Munro,,http://en.wikipedia.org/wiki/Beinn_Dubhchraig,
740,198,537,0.37,Great Mell Fell,E,Lakes: E Fells,"https://www.google.com/maps/search/?api=1&query=54.619810571668765,-2.9356536649792537",https://www.openstreetmap.org/search?query=54.619810571668765%2C-2.9356536649792537,"54.619810571668765,-2.9356536649792537",90,5S,NY 39680 25365,34C,328.1040101,252.1040101,,P100,H500,Dewey,,http://en.wikipedia.org/wiki/Great_Mell_Fell,
740,198,553,0.36,Moel-ddu,W,Hebog,"https://www.google.com/maps/search/?api=1&query=52.97641053861744,-4.1168036677125315",https://www.openstreetmap.org/search?query=52.97641053861744%2C-4.1168036677125315,"52.97641053861744,-4.1168036677125315",124,18W,SH 57965 44215,30B,372.1020101,237.1020101,,P100,H500,Dewey,,NA,
740,198,574,0.34,Beinn nan Cabar,S,Morar,"https://www.google.com/maps/search/?api=1&query=56.9162049269325,-5.672604153902255",https://www.openstreetmap.org/search?query=56.9162049269325%2C-5.672604153902255,"56.9162049269325,-5.672604153902255",40,398W,NM 76550 86550,10D,174.8020101,156.8020101,,P100,H500,Marilyn,,NA,
740,198,610,0.32,Ladylea Hill,S,Tomintoul to Banff,"https://www.google.com/maps/search/?api=1&query=57.23713163639306,-3.0900866486420653",https://www.openstreetmap.org/search?query=57.23713163639306%2C-3.0900866486420653,"57.23713163639306,-3.0900866486420653",37,420W,NJ 34300 16795,21A,211.3270101,141.3270101,,P100,H500,Graham,,NA,
740,198,907,0.22,Beinn Maol Chaluim,S,Glencoe - South Side,"https://www.google.com/maps/search/?api=1&query=56.62846582295622,-5.041105819209353",https://www.openstreetmap.org/search?query=56.62846582295622%2C-5.041105819209353,"56.62846582295622,-5.041105819209353",41,384,NN 13550 52650,03B,232.1020101,122.1020101,,P100,H750,Corbett,,NA,
746,197,522,0.38,Black Craig,S,Cowal,"https://www.google.com/maps/search/?api=1&query=55.940461816492174,-5.0182401495586255",https://www.openstreetmap.org/search?query=55.940461816492174%2C-5.0182401495586255,"55.940461816492174,-5.0182401495586255",63,363S,NS 11595 76050,19C,276.7020101,221.7020101,,P100,H500,Marilyn,,NA,
746,197,531,0.37,Craiglee,S,Galloway Hills,"https://www.google.com/maps/search/?api=1&query=55.09171235002813,-4.41206633166324",https://www.openstreetmap.org/search?query=55.09171235002813%2C-4.41206633166324,"55.09171235002813,-4.41206633166324",77,"318,319",NX 46165 80134,27B,312.1050101,233.1050101,,P100,H500,Marilyn,,NA,
746,197,658,0.3,Creag Ruadh,S,Loch Ericht,"https://www.google.com/maps/search/?api=1&query=56.966318127168385,-4.1639262082830095",https://www.openstreetmap.org/search?query=56.966318127168385%2C-4.1639262082830095,"56.966318127168385,-4.1639262082830095",42,"394W,402",NN 68535 88205,05B,211.7640101,141.7640101,,P100,H500,Graham,,NA,
746,197,943,0.21,Binnein Beag,S,Mamores,"https://www.google.com/maps/search/?api=1&query=56.767289092536195,-4.911567955958106",https://www.openstreetmap.org/search?query=56.767289092536195%2C-4.911567955958106,"56.767289092536195,-4.911567955958106",41,392,NN 22150 67750,04A,225.1020101,131.1020101,,P100,H750,Munro,,http://en.wikipedia.org/wiki/Binnein_Beag,
746,197,1171,0.17,Ben Avon,S,Cairngorms,"https://www.google.com/maps/search/?api=1&query=57.0993136314801,-3.434409442966715",https://www.openstreetmap.org/search?query=57.0993136314801%2C-3.434409442966715,"57.0993136314801,-3.434409442966715",36,404S,NJ 13195 01840,08B,211.1220101,141.1220101,,P100,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_Avon,
751,196,602,0.33,Peel Fell,E,Kielder,"https://www.google.com/maps/search/?api=1&query=55.290442414914274,-2.5896690703948666",https://www.openstreetmap.org/search?query=55.290442414914274%2C-2.5896690703948666,"55.290442414914274,-2.5896690703948666",80,42W,NY 62650 99750,33A,320.1065101,248.1065101,,P100,H500,Dewey,summit is c. 100m from Scottish border,http://en.wikipedia.org/wiki/Peel_Fell,
751,196,668,0.29,Beinn Bheag,S,The Fannaichs,"https://www.google.com/maps/search/?api=1&query=57.69140098022283,-5.214133657250696",https://www.openstreetmap.org/search?query=57.69140098022283%2C-5.214133657250696,"57.69140098022283,-5.214133657250696",19,435S,NH 08520 71385,14B,122.5020101,180.5020101,,P100,H500,Graham,,NA,
751,196,712,0.28,Creag Ruadh,S,Loch Tay to Perth,"https://www.google.com/maps/search/?api=1&query=56.436747434379576,-4.1518186752113655",https://www.openstreetmap.org/search?query=56.436747434379576%2C-4.1518186752113655,"56.436747434379576,-4.1518186752113655",51,368W,NN 67420 29250,01A,286.3040101,101.3040101,,P100,H500,Graham,,NA,
751,196,768,0.26,Carn Dearg (south),S,Glen Roy - north side,"https://www.google.com/maps/search/?api=1&query=57.015677493220075,-4.7073059442884055",https://www.openstreetmap.org/search?query=57.015677493220075%2C-4.7073059442884055,"57.015677493220075,-4.7073059442884055",34,400,NN 35725 94875,09B,201.5030101,142.5030101,,P100,H750,Corbett,,NA,
751,196,992,0.2,Carn nan Gobhar,S,Glen Cannich,"https://www.google.com/maps/search/?api=1&query=57.363216369228546,-5.024511916460767",https://www.openstreetmap.org/search?query=57.363216369228546%2C-5.024511916460767,"57.363216369228546,-5.024511916460767",25,430,NH 18190 34350,12B,149.0520101,167.0520101,,P100,H750,Munro,,http://en.wikipedia.org/wiki/Carn_nan_Gobhar_%28Mullardoch%29,
756,195,550,0.35,Drosgol,W,Pumlumon,"https://www.google.com/maps/search/?api=1&query=52.47444103832014,-3.827802439919564",https://www.openstreetmap.org/search?query=52.47444103832014%2C-3.827802439919564,"52.47444103832014,-3.827802439919564",135,213,SN 75950 87850,31A,380.1030101,245.1030101,,P100,H500,Dewey,,NA,
756,195,672,0.29,Rogan's Seat,E,Dales: N Fells,"https://www.google.com/maps/search/?api=1&query=54.42290936213147,-2.1259580796817636",https://www.openstreetmap.org/search?query=54.42290936213147%2C-2.1259580796817636,"54.42290936213147,-2.1259580796817636","91,92",30N,NY 91925 03060,35A,324.1240101,253.1240101,,P100,H500,Hewitt,,http://en.wikipedia.org/wiki/Rogan%27s_Seat,
756,195,841,0.23,Beinn Mholach,S,Drumochter Hills,"https://www.google.com/maps/search/?api=1&query=56.75945097680792,-4.312096189937231",https://www.openstreetmap.org/search?query=56.75945097680792%2C-4.312096189937231,"56.75945097680792,-4.312096189937231",42,385E,NN 58750 65480,05A,207.1040101,137.1040101,,P100,H750,Corbett,,NA,
759,194,548,0.35,Beinn Mhialairigh,S,Arnisdale,"https://www.google.com/maps/search/?api=1&query=57.153601657174455,-5.638808001635892",https://www.openstreetmap.org/search?query=57.153601657174455%2C-5.638808001635892,"57.153601657174455,-5.638808001635892",33,413S,NG 80015 12845,10A,165.1020101,144.1020101,,P100,H500,Marilyn,,NA,
759,194,570,0.34,Carn Daimh,S,Tomintoul to Banff,"https://www.google.com/maps/search/?api=1&query=57.30785058525932,-3.3601838853005592",https://www.openstreetmap.org/search?query=57.30785058525932%2C-3.3601838853005592,"57.30785058525932,-3.3601838853005592",36,419S,NJ 18155 24960,21A,211.3220101,141.3220101,,P100,H500,Marilyn,,NA,
759,194,618,0.31,Cruach Choireadail,S,Mull,"https://www.google.com/maps/search/?api=1&query=56.40508019104429,-5.900070768657833",https://www.openstreetmap.org/search?query=56.40508019104429%2C-5.900070768657833,"56.40508019104429,-5.900070768657833",48,"375E,375W",NM 59475 30475,17E,560.4020101,204.4020101,,P100,H500,Graham,,NA,
759,194,637,0.3,Croft Head .,S,Ettrick Hills,"https://www.google.com/maps/search/?api=1&query=55.337569272209535,-3.3367163292545015",https://www.openstreetmap.org/search?query=55.337569272209535%2C-3.3367163292545015,"55.337569272209535,-3.3367163292545015",79,330,NT 15310 05650,28B,304.1715101,235.1715101,,P100,H500,Graham,,NA,
759,194,646,0.3,Beinn na Cloiche,S,Mamores,"https://www.google.com/maps/search/?api=1&query=56.74372751570736,-4.806368333997667",https://www.openstreetmap.org/search?query=56.74372751570736%2C-4.806368333997667,"56.74372751570736,-4.806368333997667",41,"385W,392",NN 28470 64860,04A,221.4020101,134.4020101,,P100,H500,Graham,,NA,
759,194,677,0.29,Andrewhinney Hill,S,Ettrick Hills,"https://www.google.com/maps/search/?api=1&query=55.412159234419335,-3.2690211739637967",https://www.openstreetmap.org/search?query=55.412159234419335%2C-3.2690211739637967,"55.412159234419335,-3.2690211739637967",79,330,NT 19755 13870,28B,304.1735101,235.1735101,,P100,H500,Graham,,NA,
759,194,775,0.25,Shalloch on Minnoch,S,Galloway Hills,"https://www.google.com/maps/search/?api=1&query=55.18360641675762,-4.502446559220432",https://www.openstreetmap.org/search?query=55.18360641675762%2C-4.502446559220432,"55.18360641675762,-4.502446559220432",77,318,NX 40765 90560,27B,312.1070101,233.1070101,,P100,H750,Corbett,,NA,
759,194,1068,0.18,Glas Maol,S,"Glens Callater, Shee & Ey","https://www.google.com/maps/search/?api=1&query=56.87297595287824,-3.3682220217882826",https://www.openstreetmap.org/search?query=56.87297595287824%2C-3.3682220217882826,"56.87297595287824,-3.3682220217882826",43,388N,NO 16700 76565,07A,215.0560101,140.0560101,,P100,H1000,Munro,,http://en.wikipedia.org/wiki/Glas_Maol,
767,193,508,0.38,Beinn Dubh,S,Trossachs,"https://www.google.com/maps/search/?api=1&query=56.206306405472525,-4.573851009137212",https://www.openstreetmap.org/search?query=56.206306405472525%2C-4.573851009137212,"56.206306405472525,-4.573851009137212",56,364S,NN 40445 04505,01C,296.3030101,105.3030101,,P100,H500,Marilyn,,NA,
767,193,589,0.33,Beinn Mheadhonach,S,Glen Creran,"https://www.google.com/maps/search/?api=1&query=56.54306004951637,-5.149777083286757",https://www.openstreetmap.org/search?query=56.54306004951637%2C-5.149777083286757,"56.54306004951637,-5.149777083286757",50,377W,NN 06450 43450,03B,237.1020101,126.1020101,,P100,H500,Marilyn,,NA,
767,193,610,0.32,Pen y Garn,W,Rhayader,"https://www.google.com/maps/search/?api=1&query=52.37858143125694,-3.766614012124777",https://www.openstreetmap.org/search?query=52.37858143125694%2C-3.766614012124777,"52.37858143125694,-3.766614012124777","135,147",213,SN 79845 77085,31C,380.1050101,245.1050101,,P100,H500,Hewitt,,http://en.wikipedia.org/wiki/Pen_y_Garn,
767,193,652,0.3,Beinn na Cille,S,Kingairloch,"https://www.google.com/maps/search/?api=1&query=56.630404540744664,-5.500477542616944",https://www.openstreetmap.org/search?query=56.630404540744664%2C-5.500477542616944,"56.630404540744664,-5.500477542616944",49,"376,383E",NM 85395 54210,18C,193.2020101,214.2020101,,P100,H500,Graham,,NA,
767,193,692,0.28,Seatallan,E,Lakes: W Fells,"https://www.google.com/maps/search/?api=1&query=54.464068204036835,-3.3282937996228785",https://www.openstreetmap.org/search?query=54.464068204036835%2C-3.3282937996228785,"54.464068204036835,-3.3282937996228785",89,"6N,303",NY 14000 08445,34B,336.4530101,251.4530101,,P100,H500,Hewitt,,http://en.wikipedia.org/wiki/Seatallan,
767,193,868,0.22,Meall na Meoig,S,Corrour,"https://www.google.com/maps/search/?api=1&query=56.74322525447187,-4.538588751197528",https://www.openstreetmap.org/search?query=56.74322525447187%2C-4.538588751197528,"56.74322525447187,-4.538588751197528",42,"385E,385W",NN 44840 64165,04B,205.2050101,135.2050101,,P100,H750,Corbett,,NA,
767,193,1118,0.17,Meall Garbh,S,Ben Lawers & The Tarmachans,"https://www.google.com/maps/search/?api=1&query=56.566071063939155,-4.207663508569107",https://www.openstreetmap.org/search?query=56.566071063939155%2C-4.207663508569107,"56.566071063939155,-4.207663508569107",51,378E,NN 64440 43750,02B,256.1030101,117.1030101,,P100,H1000,Munro,alternative Prominence 127m,http://en.wikipedia.org/wiki/Meall_Garbh_%28Lawers_Group%29,
774,192,516,0.37,Long Mynd,E,Long Mynd,"https://www.google.com/maps/search/?api=1&query=52.54470097053399,-2.8637704198859213",https://www.openstreetmap.org/search?query=52.54470097053399%2C-2.8637704198859213,"52.54470097053399,-2.8637704198859213",137,217,SO 41520 94445,38A,380.4020101,245.4020101,,P100,H500,Dewey,,http://en.wikipedia.org/wiki/Long_Mynd,
774,192,764,0.25,Spidean Coinich,S,Quinag,"https://www.google.com/maps/search/?api=1&query=58.201712356879355,-5.054402183640037",https://www.openstreetmap.org/search?query=58.201712356879355%2C-5.054402183640037,"58.201712356879355,-5.054402183640037",15,442E,NC 20605 27725,16E,113.1020101,192.1020101,,P100,H750,Corbett,,NA,
776,191,559,0.34,Beinn Eilideach,S,Inverlael,"https://www.google.com/maps/search/?api=1&query=57.885679570198526,-5.087523808429788",https://www.openstreetmap.org/search?query=57.885679570198526%2C-5.087523808429788,"57.885679570198526,-5.087523808429788",20,436N,NH 17050 92650,15A,116.0580101,181.0580101,,P100,H500,Marilyn,,NA,
776,191,677,0.28,Carn Gorm,S,Glen Cannich,"https://www.google.com/maps/search/?api=1&query=57.37915636202354,-4.781641395877768",https://www.openstreetmap.org/search?query=57.37915636202354%2C-4.781641395877768,"57.37915636202354,-4.781641395877768",26,431,NH 32865 35500,12B,149.1020101,167.1020101,,P100,H500,Graham,,NA,
776,191,727,0.26,Mullach Coire nan Geur-oirean,S,Locheil,"https://www.google.com/maps/search/?api=1&query=56.95341409748765,-5.209591788929612",https://www.openstreetmap.org/search?query=56.95341409748765%2C-5.209591788929612,"56.95341409748765,-5.209591788929612",41,399,NN 04915 89270,10D,176.1020101,155.1020101,,P100,H500,Graham,,NA,
776,191,749,0.26,Mona Gowan,S,Ballater & District,"https://www.google.com/maps/search/?api=1&query=57.13846007173112,-3.0988327711288237",https://www.openstreetmap.org/search?query=57.13846007173112%2C-3.0988327711288237,"57.13846007173112,-3.0988327711288237",37,405W,NJ 33595 05820,21A,211.2620101,141.2620101,,P100,H500,Graham,,NA,
