Prominence Rank,Prominence (m),Height (m),Dominance (%),Peak Name,Country,Location,Google Map Link,Open Street Map Link,Lat/Lon,Map 1:50 000,Map 1:25 000,Grid Ref,Section,Peak Number,Section Order,Family Size,Prominence Group,Height Group,Traditional List,Notes,Wikipedia,"Adapted from 2010 Jim Bloomer, Roddy Urquhart and UK Metric Association"
159,499,664,0.75,Beinn Ruadh,S,Cowal,"https://www.google.com/maps/search/?api=1&query=56.0530873490922,-4.963104651055303",https://www.openstreetmap.org/search?query=56.0530873490922%2C-4.963104651055303,"56.0530873490922,-4.963104651055303",56,363S,NS 15575 88430,19C,274.5010101,220.5010101,,P200,H500,Graham,Summit 60m N of trig - Promotion candidate,NA,
159,499,796,0.63,Sgurr an Utha,S,Glen Finnan,"https://www.google.com/maps/search/?api=1&query=56.898641226824296,-5.474301601908049",https://www.openstreetmap.org/search?query=56.898641226824296%2C-5.474301601908049,"56.898641226824296,-5.474301601908049",40,398E,NM 88515 83965,10D,174.5010101,156.5010101,,P200,H750,Corbett,P499 promotion candidate,NA,
159,499,909,0.55,Leum Uilleim,S,Corrour,"https://www.google.com/maps/search/?api=1&query=56.73884820510384,-4.73069297015147",https://www.openstreetmap.org/search?query=56.73884820510384%2C-4.73069297015147,"56.73884820510384,-4.73069297015147",41,385W,NN 33075 64130,04A,221.3010101,134.3010101,,P200,H750,Corbett,Strong promotion candidate,http://en.wikipedia.org/wiki/Leum_Uilleim,
162,496,636,0.78,Kinder Scout,E,Peak District,"https://www.google.com/maps/search/?api=1&query=53.38459422534331,-1.8742738828852077",https://www.openstreetmap.org/search?query=53.38459422534331%2C-1.8742738828852077,"53.38459422534331,-1.8742738828852077",110,1W,SK 08460 87535,36A,324.9210101,253.9210101,3,P200,H500,Hewitt,,http://en.wikipedia.org/wiki/Kinder_Scout,
162,496,731,0.68,Suilven,S,Assynt,"https://www.google.com/maps/search/?api=1&query=58.115410531705656,-5.136763852519996",https://www.openstreetmap.org/search?query=58.115410531705656%2C-5.136763852519996,"58.115410531705656,-5.136763852519996",15,442W,NC 15320 18345,16F,114.2010101,193.2010101,2,P200,H500,Graham,,http://en.wikipedia.org/wiki/Suilven,
162,496,946,0.52,Meall Buidhe,S,Knoydart,"https://www.google.com/maps/search/?api=1&query=57.03147260318339,-5.546221767942496",https://www.openstreetmap.org/search?query=57.03147260318339%2C-5.546221767942496,"57.03147260318339,-5.546221767942496","33,40","398E,413S",NM 84905 98965,10B,169.6010101,148.6010101,2,P200,H750,Munro,,NA,
165,495,792,0.63,Beinn Leoid,S,Assynt,"https://www.google.com/maps/search/?api=1&query=58.221927535160624,-4.861573237711736",https://www.openstreetmap.org/search?query=58.221927535160624%2C-4.861573237711736,"58.221927535160624,-4.861573237711736",15,442E,NC 32028 29477,16E,111.4010101,191.4010101,2,P200,H750,Corbett,,NA,
165,495,796,0.62,Beinn Bhan,S,Locheil,"https://www.google.com/maps/search/?api=1&query=56.925202083374195,-5.056759343418718",https://www.openstreetmap.org/search?query=56.925202083374195%2C-5.056759343418718,"56.925202083374195,-5.056759343418718","34,41",399,NN 14065 85705,10D,176.6010101,155.6010101,,P200,H750,Corbett,,NA,
167,494,1021,0.48,Aonach air Chrith,S,South Glen Shiel,"https://www.google.com/maps/search/?api=1&query=57.124490763833606,-5.22116950088231",https://www.openstreetmap.org/search?query=57.124490763833606%2C-5.22116950088231,"57.124490763833606,-5.22116950088231",33,414S,NH 05110 08335,10A,162.2010101,145.2010101,8,P200,H1000,Munro,,NA,
168,493,506,0.97,Beinn Dhubh,S,South Harris,"https://www.google.com/maps/search/?api=1&query=57.89980828531706,-6.9141474421007345",https://www.openstreetmap.org/search?query=57.89980828531706%2C-6.9141474421007345,"57.89980828531706,-6.9141474421007345","14,18",456,NB 08964 00631,24B,505.6010101,228.6010101,,P200,H500,Marilyn,,NA,
